postcode,longitude,latitude
2031,151.2588,-33.9121
2032,151.2275,-33.924
2033,151.2224,-33.9202
2034,151.2552,-33.9205
2035,151.2333,-33.95
2036,151.234,-33.9816
2037,151.1843,-33.8788
2038,151.1667,-33.8833
2039,151.1705,-33.8614
2040,151.1653,-33.875
2041,151.1833,-33.8548
2042,151.1775,-33.8983
2043,151.1858,-33.9025
2044,151.1833,-33.9167
2045,151.2,-33.8833
2046,151.1411,-33.8589
2047,151.1549,-33.8524
2048,151.1623,-33.8798
2049,151.1549,-33.8946
2050,151.1771,-33.8892
2052,151.1936,-33.8427
2055,151.2072,-33.839
2057,151.1833,-33.8
2058,151.1936,-33.8427
2059,151.2072,-33.839
2060,151.2046,-33.842
2061,151.2119,-33.846
2062,151.2161,-33.8213
2063,151.2222,-33.8094
2064,151.1833,-33.8167
2065,151.183,-33.8395
2066,151.1803,-33.8289
2067,151.1649,-33.794
2068,151.2052,-33.7984
2069,151.2092,-33.7865
2070,151.1868,-33.7666
2071,151.1621,-33.766
2072,151.1512,-33.7553
2073,151.1333,-33.7667
2074,151.1126,-33.7494
2075,151.1646,-33.7038
2076,151.1156,-33.7182
2077,151.1033,-33.7109
2079,151.1167,-33.6833
2080,151.1287,-33.642
2081,151.1509,-33.6208
2082,151.1221,-33.5827
2083,151.222,-33.5198
2084,151.196,-33.6705
2085,151.232,-33.7173
2086,151.2232,-33.7482
2087,151.2203,-33.7745
2088,151.2396,-33.839
2089,151.2226,-33.8424
2090,151.2267,-33.83
2091,151.2745,-33.7787
2092,151.2398,-33.8014
2093,151.2624,-33.8066
2094,151.2735,-33.7957
2095,151.2883,-33.798
2096,151.2889,-33.7689
2097,151.3012,-33.732
2099,151.2762,-33.7416
2100,151.2745,-33.7611
2101,151.2797,-33.7016
2102,151.2953,-33.6886
2103,151.3031,-33.6776
2104,151.2988,-33.6598
2105,151.2837,-33.6451
2106,151.3213,-33.6552
2107,151.3168,-33.6297
2108,151.297,-33.5961
2109,151.1138,-33.7716
2110,151.1459,-33.8343
2111,151.1356,-33.8434
2112,151.1062,-33.8188
2113,151.1298,-33.7912
2114,151.0886,-33.8167
2115,151.0547,-33.8148
2116,151.0375,-33.8145
2117,151.0339,-33.8058
2118,151.0489,-33.7827
2119,151.0648,-33.7495
2120,151.0722,-33.7378
2121,151.0818,-33.7727
2122,151.1057,-33.7778
2123,151.0,-33.8167
2124,151.0,-33.8167
2125,151.0476,-33.7457
2126,151.0461,-33.722
2127,151.0683,-33.8498
2128,151.0473,-33.8334
2129,151.0564,-33.7838
2130,151.1382,-33.8915
2131,151.1227,-33.8883
2132,151.1167,-33.8833
2133,151.1032,-33.8972
2134,151.1,-33.8833
2135,151.0799,-33.881
2136,151.0833,-33.8925
2137,151.1072,-33.8422
2138,151.0861,-33.8481
2139,151.1042,-33.8657
2140,151.0833,-33.8667
2141,151.0557,-33.8742
2142,151.0264,-33.8197
2143,151.0207,-33.8925
2144,151.0333,-33.85
2145,150.9667,-33.8167
2146,150.9562,-33.7898
2147,150.9312,-33.7609
2148,150.9136,-33.8015
2150,151.0067,-33.8197
2151,151.0012,-33.7935
2152,150.9833,-33.7833
2153,150.9805,-33.7764
2154,151.0,-33.7333
2155,150.9154,-33.6821
2156,150.9476,-33.6576
2157,151.0089,-33.6018
2158,151.0339,-33.6771
2159,151.0471,-33.653
2160,150.9833,-33.8333
2161,150.9839,-33.8643
2162,150.9995,-33.879
2163,150.9756,-33.896
2164,150.917,-33.8667
2165,150.917,-33.8667
2166,150.948,-33.8866
2167,150.9,-33.9667
2168,150.8671,-33.9029
2170,150.8995,-33.9522
2171,150.8541,-33.9313
2172,149.8635,-35.0628
2173,150.9667,-33.9833
2174,150.8613,-33.9569
2175,150.8489,-33.8432
2176,150.8841,-33.8618
2177,150.8699,-33.8912
2178,150.7876,-33.8806
2179,150.8081,-33.9274
2190,151.0483,-33.9175
2191,151.0847,-33.9035
2192,151.0894,-33.919
2193,151.1287,-33.9099
2194,151.1028,-33.9125
2195,151.0674,-33.9242
2196,151.0732,-33.9332
2197,150.9954,-33.8986
2198,150.9885,-33.9088
2199,151.02,-33.9049
2200,151.0109,-33.9246
2203,151.1394,-33.9041
2204,151.1557,-33.9112
2205,151.1421,-33.9303
2206,151.1,-33.95
2207,151.1167,-33.95
2208,151.1111,-33.9331
2209,151.0798,-33.948
2210,151.0516,-33.9629
2211,151.0399,-33.9674
2212,151.0184,-33.9671
2213,150.9973,-33.9537
2214,150.9815,-33.9393
2216,151.1333,-33.95
2217,151.1373,-33.9736
2218,151.1144,-33.9726
2219,151.1455,-33.995
2220,151.0903,-33.9799
2221,151.1088,-33.9915
2222,151.0833,-33.9667
2223,151.0833,-33.9667
2224,151.0959,-34.0026
2225,151.0759,-34.0041
2226,151.0607,-34.0164
2227,151.088,-34.0521
2228,151.1001,-34.0386
2229,151.1183,-34.0194
2230,151.1762,-34.0328
2231,151.2051,-34.0109
2232,151.0832,-34.106
2233,150.9923,-34.1357
2234,150.9807,-34.06
2250,151.3625,-33.4039
2251,151.4109,-33.4553
2252,151.382,-33.344
2256,151.301,-33.4924
2257,151.3682,-33.5239
2258,151.3667,-33.3333
2259,151.4569,-33.2192
2260,151.4467,-33.4482
2261,151.5002,-33.3541
2262,151.5436,-33.2069
2263,151.5028,-33.2267
2264,151.5471,-33.0946
2265,151.4541,-33.0762
2267,151.5984,-33.0718
2278,151.5833,-32.9333
2280,151.6482,-33.0048
2281,151.6553,-33.0717
2282,151.6527,-32.9725
2283,151.5787,-33.0533
2284,151.6,-32.9667
2285,151.6446,-32.9511
2286,151.5833,-32.9
2287,151.6901,-32.8937
2289,151.7123,-32.9533
2290,151.6667,-32.95
2291,151.7591,-32.9382
2292,151.7368,-32.9119
2293,151.7554,-32.9112
2294,151.7644,-32.915
2295,151.8131,-32.8643
2296,151.7474,-32.9139
2297,151.7509,-32.9073
2298,151.7265,-32.9067
2299,151.7,-32.9167
2300,151.7765,-32.9271
2302,151.7571,-32.9245
2303,151.7465,-32.9279
2304,151.771,-32.8843
2305,151.6833,-32.95
2306,151.6817,-32.9928
2307,151.691,-32.8788
2308,151.7053,-32.892
2309,151.2415,-33.5386
2310,151.8955,-32.5879
2311,151.5565,-32.4138
2312,152.3748,-32.1577
2314,151.8955,-32.5879
2315,152.171,-32.7497
2316,152.067,-32.7488
2317,152.0698,-32.7105
2318,151.8676,-32.7415
2319,152.0172,-32.7393
2320,151.5279,-32.7331
2321,151.6369,-32.6564
2322,151.6844,-32.8293
2323,151.5833,-32.75
2324,151.9167,-32.6167
2325,151.2849,-32.9061
2326,151.4082,-32.8276
2327,151.4936,-32.8247
2328,150.6893,-32.3879
2329,149.9833,-32.0
2330,151.0667,-32.45
2331,151.1897,-32.6895
2333,150.4667,-32.5
2334,151.3892,-32.6778
2335,151.1701,-33.0131
2336,151.0833,-32.1167
2337,151.3179,-31.9985
2338,151.0833,-31.7833
